ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,نورة الحربي,6201,عقد لؤلؤ,مجوهرات,1,458.33,458.33,22.18,Devuelto,12/05/2024,22/05/2024,بطاقة ائتمان,3,الرياض,Tienda física,يوسف البقمي,4.3,480.51,26.741802,39.789115
CLI00002,نورة الحربي,7489,ساعة فاخرة,ساعات,4,215.02,860.08,56.56,Entregado,02/04/2025,09/04/2025,بطاقة ائتمان,6,الرياض,Tienda física,لينا الرشيدي,3.5,916.64,21.877566,42.495563
CLI00003,هند المطيري,1538,نظارة شمسية,نظارات,6,95.16,570.96,26.64,Pendiente,10/02/2025,18/02/2025,تحويل بنكي,1,مكة المكرمة,Online,ريم العتيبي,3.5,597.6,28.879363,37.732737
CLI00004,محمد العمري,9216,ساعة فاخرة,ساعات,8,206.23,1649.84,60.98,Entregado,12/02/2024,22/02/2024,الدفع الفوري,1,أبها,Tienda física,عمر الدوسري,3.3,1710.82,23.240751,38.86125
CLI00005,سارة الزهراني,7728,نظارة شمسية,نظارات,5,57.73,288.65,50.21,Entregado,05/08/2024,15/08/2024,نقداً,1,جدة,Tienda física,يوسف البقمي,4.1,338.86,18.535426,47.795224
CLI00006,أحمد الغامدي,4719,خاتم ذهبي,مجوهرات,10,1108.53,11085.3,11.51,Devuelto,08/09/2025,20/09/2025,تحويل بنكي,1,المدينة المنورة,Online,لينا الرشيدي,2.5,11096.81,28.165703,47.028956
CLI00007,أحمد الغامدي,8058,خاتم ذهبي,مجوهرات,10,1224.77,12247.7,27.8,Entregado,27/12/2024,02/01/2025,نقداً,1,الخبر,Tienda física,ريم العتيبي,1.5,12275.5,24.404959,45.584531
CLI00008,محمد العمري,9635,ساعة فاخرة,ساعات,3,149.7,449.1,68.33,Entregado,11/04/2025,23/04/2025,بطاقة مدى,1,المدينة المنورة,Tienda física,ريم العتيبي,4.3,517.43,22.877106,54.077753
CLI00009,عبدالله القحطاني,8290,سوار فضي,مجوهرات,4,553.13,2212.52,49.47,Entregado,02/11/2025,16/11/2025,الدفع الفوري,1,جدة,Tienda física,ريم العتيبي,4.9,2261.99,20.478222,55.255793
CLI00010,خالد الشمري,3370,إكسسوار ذهبي,مجوهرات,9,823.97,7415.73,68.28,En tránsito,27/08/2025,08/09/2025,تحويل بنكي,1,أبها,Online,لينا الرشيدي,4.9,7484.01,26.375993,50.600975
CLI00011,محمد العمري,8531,حقيبة جلدية,حقائب,3,896.11,2688.33,21.7,En tránsito,06/10/2025,10/10/2025,الدفع الفوري,1,بريدة,Tienda física,يوسف البقمي,2.4,2710.03,25.454428,42.841053
CLI00012,أحمد الغامدي,6572,ساعة فاخرة,ساعات,8,1186.73,9493.84,56.25,Entregado,01/04/2025,10/04/2025,بطاقة مدى,1,بريدة,Online,يوسف البقمي,4.0,9550.09,27.406165,40.601671
CLI00013,خالد الشمري,8919,إكسسوار ذهبي,مجوهرات,6,610.36,3662.16,64.73,En tránsito,07/07/2025,22/07/2025,نقداً,1,بريدة,Tienda física,عمر الدوسري,1.8,3726.89,31.179829,38.220079
CLI00014,محمد العمري,6000,حقيبة جلدية,حقائب,10,622.32,6223.2,17.45,Entregado,17/07/2025,21/07/2025,بطاقة ائتمان,3,الدمام,Tienda física,يوسف البقمي,4.5,6240.65,30.845247,38.421112
CLI00015,نورة الحربي,5540,إكسسوار ذهبي,مجوهرات,1,1101.65,1101.65,74.62,En tránsito,10/01/2025,13/01/2025,نقداً,1,جدة,Tienda física,لينا الرشيدي,4.2,1176.27,20.108736,45.301424
CLI00016,هند المطيري,4432,خاتم ذهبي,مجوهرات,8,247.21,1977.68,42.01,En tránsito,29/12/2025,03/01/2026,بطاقة مدى,1,أبها,Online,عمر الدوسري,1.3,2019.69,31.940076,35.820012
CLI00017,خالد الشمري,6776,ساعة فاخرة,ساعات,1,272.5,272.5,17.06,En tránsito,20/04/2025,29/04/2025,بطاقة مدى,1,أبها,Tienda física,يوسف البقمي,2.2,289.56,29.980808,49.374558
CLI00018,سارة الزهراني,1018,إكسسوار ذهبي,مجوهرات,8,186.74,1493.92,49.49,Entregado,18/01/2025,28/01/2025,بطاقة ائتمان,12,الخبر,Tienda física,لينا الرشيدي,2.5,1543.41,30.316367,51.954559
CLI00019,أحمد الغامدي,5080,عقد لؤلؤ,مجوهرات,6,180.31,1081.86,40.95,Entregado,27/06/2024,02/07/2024,الدفع الفوري,1,بريدة,Tienda física,لينا الرشيدي,1.9,1122.81,20.605919,35.460599
