ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Luis Hernández,2824,Vestido de noche,Ropa,5,130.0,650.0,5.91,Entregado,12/07/2025,16/07/2025,Pago móvil,1,Barcelona,Online,Pedro Castillo,1.4,655.91,8.823708,-65.172747
CLI00002,Valentina López,9928,Gafas de sol,Accesorios,4,230.11,920.44,9.79,Pendiente,12/06/2024,26/06/2024,Transferencia,1,Mérida,Tienda física,Luisa Morales,1.9,930.23,11.159374,-71.920161
CLI00003,Luis Hernández,2584,Perfume importado,Belleza,6,305.83,1834.98,24.6,En tránsito,03/07/2025,07/07/2025,Transferencia,1,Maracaibo,Tienda física,Miguel Vargas,3.3,1859.58,10.900116,-72.681371
CLI00004,María González,5741,Blusa floral,Ropa,4,434.58,1738.32,12.64,Entregado,08/01/2025,13/01/2025,Tarjeta débito,1,Mérida,Online,Miguel Vargas,3.8,1750.96,10.80761,-72.336066
CLI00005,José Ramírez,9751,Cartera de cuero,Accesorios,3,236.51,709.53,9.56,Cancelado,05/12/2025,16/12/2025,Tarjeta crédito,6,Caracas,Online,Pedro Castillo,4.2,719.09,9.565125,-72.406454
CLI00006,Andrés Díaz,4483,Collar dorado,Joyería,7,443.49,3104.43,20.0,Entregado,22/05/2024,28/05/2024,Pago móvil,1,Maracay,Tienda física,Carmen Suárez,2.4,3124.43,12.188233,-71.432521
CLI00007,Carlos Pérez,2489,Vestido de noche,Ropa,2,84.89,169.78,6.48,En tránsito,02/09/2025,06/09/2025,Transferencia,1,Barcelona,Tienda física,Miguel Vargas,4.9,176.26,11.587431,-73.145006
CLI00008,Ana Rodríguez,9797,Zapatos de tacón,Calzado,6,64.66,387.96,14.17,Entregado,26/09/2024,07/10/2024,Tarjeta crédito,1,Maracay,Online,Luisa Morales,2.5,402.13,8.510816,-60.427753
CLI00009,María González,6310,Collar dorado,Joyería,1,64.82,64.82,12.16,Devuelto,10/11/2024,16/11/2024,Efectivo,1,Barquisimeto,Online,Pedro Castillo,3.9,76.98,11.390502,-60.097209
CLI00010,Carlos Pérez,3103,Collar dorado,Joyería,9,90.91,818.19,16.77,En tránsito,04/08/2024,15/08/2024,Tarjeta crédito,6,Barcelona,Tienda física,Carmen Suárez,4.6,834.96,9.786539,-69.953274
CLI00011,Andrés Díaz,6539,Vestido de noche,Ropa,10,281.42,2814.2,18.48,Entregado,25/12/2025,07/01/2026,Efectivo,1,Barquisimeto,Online,Pedro Castillo,4.4,2832.68,8.111772,-70.086937
CLI00012,Andrés Díaz,4510,Pulsera plateada,Joyería,3,364.44,1093.32,26.71,Entregado,05/09/2024,20/09/2024,Transferencia,1,Barcelona,Online,Pedro Castillo,1.4,1120.03,9.696625,-67.581689
CLI00013,Andrés Díaz,1887,Blusa floral,Ropa,1,207.28,207.28,11.5,Pendiente,11/09/2024,17/09/2024,Tarjeta crédito,12,Valencia,Tienda física,Luisa Morales,2.1,218.78,8.899148,-60.835914
CLI00014,Ana Rodríguez,2604,Vestido de noche,Ropa,9,419.65,3776.85,29.13,Cancelado,30/08/2024,04/09/2024,Transferencia,1,Cumaná,Tienda física,Luisa Morales,4.5,3805.98,11.770749,-71.077399
CLI00015,Ana Rodríguez,7396,Zapatos de tacón,Calzado,8,149.77,1198.16,21.5,En tránsito,23/07/2025,05/08/2025,Transferencia,1,Valencia,Online,Miguel Vargas,1.9,1219.66,8.057326,-63.367548
CLI00016,Carlos Pérez,6138,Vestido de noche,Ropa,1,296.25,296.25,16.08,Pendiente,10/06/2024,13/06/2024,Pago móvil,1,Maracaibo,Online,Pedro Castillo,3.4,312.33,10.770935,-70.124747
CLI00017,Gabriela Torres,5033,Falda midi,Ropa,10,29.47,294.7,4.3,En tránsito,01/08/2025,12/08/2025,Tarjeta débito,1,Maracay,Online,Miguel Vargas,2.0,299.0,9.541458,-64.232182
CLI00018,José Ramírez,8491,Perfume importado,Belleza,2,14.56,29.12,19.39,Entregado,12/04/2024,16/04/2024,Pago móvil,1,Barquisimeto,Tienda física,Luisa Morales,4.7,48.51,11.675802,-61.429852
CLI00019,María González,5669,Pantalón casual,Ropa,8,418.54,3348.32,21.7,En tránsito,31/10/2025,11/11/2025,Efectivo,1,Maracay,Online,Luisa Morales,2.1,3370.02,11.714736,-63.277375
CLI00020,José Ramírez,5462,Zapatos de tacón,Calzado,10,113.21,1132.1,11.6,En tránsito,27/09/2024,08/10/2024,Transferencia,1,Maracay,Online,Pedro Castillo,3.5,1143.7,11.449132,-72.704829
CLI00021,Gabriela Torres,3143,Zapatos de tacón,Calzado,3,373.2,1119.6,17.45,Entregado,10/01/2024,14/01/2024,Efectivo,1,Valencia,Online,Miguel Vargas,3.3,1137.05,8.451613,-71.579485
CLI00022,Ana Rodríguez,6974,Vestido de noche,Ropa,6,112.94,677.64,8.99,Entregado,27/07/2025,05/08/2025,Pago móvil,1,Valencia,Online,Luisa Morales,4.9,686.63,11.367396,-61.400881
CLI00023,Gabriela Torres,3938,Perfume importado,Belleza,7,403.1,2821.7,26.19,Pendiente,30/09/2024,05/10/2024,Efectivo,1,Barcelona,Online,Carmen Suárez,1.9,2847.89,11.392981,-67.085906
CLI00024,María González,4728,Cartera de cuero,Accesorios,1,333.42,333.42,13.16,Entregado,12/03/2024,27/03/2024,Tarjeta débito,1,Mérida,Tienda física,Miguel Vargas,4.8,346.58,8.307504,-60.199592
CLI00025,Luis Hernández,5349,Vestido de noche,Ropa,2,302.32,604.64,11.68,En tránsito,22/03/2025,03/04/2025,Pago móvil,1,Maracaibo,Tienda física,Luisa Morales,2.0,616.32,10.918655,-73.277168
CLI00026,Valentina López,6967,Gafas de sol,Accesorios,2,474.95,949.9,27.78,En tránsito,10/11/2025,14/11/2025,Tarjeta débito,1,Maracay,Tienda física,Miguel Vargas,2.6,977.68,9.100883,-71.581615
CLI00027,María González,7211,Pantalón casual,Ropa,10,288.86,2888.6,13.37,Pendiente,07/11/2024,14/11/2024,Tarjeta crédito,12,Mérida,Tienda física,Carmen Suárez,2.8,2901.97,8.740286,-66.911986
CLI00028,Carlos Pérez,2389,Zapatos de tacón,Calzado,9,335.29,3017.61,19.34,Entregado,28/08/2024,10/09/2024,Tarjeta débito,1,Barquisimeto,Online,Luisa Morales,1.1,3036.95,8.877307,-66.885659
CLI00029,Ana Rodríguez,8461,Gafas de sol,Accesorios,10,105.27,1052.7,21.5,Entregado,06/09/2024,11/09/2024,Efectivo,1,Maracaibo,Tienda física,Luisa Morales,1.7,1074.2,12.015051,-66.30757
CLI00030,Gabriela Torres,5082,Blusa floral,Ropa,8,75.34,602.72,15.01,Entregado,26/07/2025,07/08/2025,Tarjeta débito,1,Cumaná,Tienda física,Carmen Suárez,4.6,617.73,11.072084,-66.891895
CLI00031,Luis Hernández,5050,Zapatos de tacón,Calzado,9,247.45,2227.05,8.7,Entregado,31/12/2025,07/01/2026,Tarjeta crédito,6,Mérida,Tienda física,Pedro Castillo,1.6,2235.75,8.817551,-63.931678
CLI00032,Valentina López,2052,Gafas de sol,Accesorios,7,172.13,1204.91,15.05,Entregado,06/03/2025,15/03/2025,Pago móvil,1,Caracas,Tienda física,Carmen Suárez,1.0,1219.96,9.347739,-63.128086
CLI00033,Ana Rodríguez,9818,Pulsera plateada,Joyería,10,449.93,4499.3,15.67,Entregado,12/05/2025,15/05/2025,Transferencia,1,Mérida,Tienda física,Luisa Morales,4.4,4514.97,11.845983,-60.060253
CLI00034,Valentina López,7455,Falda midi,Ropa,10,334.87,3348.7,4.35,Entregado,17/04/2025,22/04/2025,Efectivo,1,Maracay,Tienda física,Miguel Vargas,1.8,3353.05,9.238122,-63.023399
CLI00035,María González,5558,Gafas de sol,Accesorios,5,419.11,2095.55,15.17,En tránsito,23/02/2024,02/03/2024,Tarjeta crédito,1,Caracas,Online,Luisa Morales,1.8,2110.72,7.889672,-71.242838
CLI00036,Valentina López,8758,Blusa floral,Ropa,10,474.4,4744.0,15.02,Entregado,12/01/2025,17/01/2025,Pago móvil,1,Maracaibo,Online,Miguel Vargas,1.4,4759.02,7.912985,-69.088577
CLI00037,José Ramírez,7498,Cartera de cuero,Accesorios,2,300.13,600.26,25.26,Entregado,14/12/2025,29/12/2025,Tarjeta débito,1,Maracaibo,Online,Miguel Vargas,3.1,625.52,10.710694,-72.369084
CLI00038,José Ramírez,1207,Gafas de sol,Accesorios,8,61.71,493.68,28.9,En tránsito,15/04/2025,29/04/2025,Tarjeta crédito,12,Valencia,Tienda física,Carmen Suárez,2.9,522.58,11.433232,-65.301593
