ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Michael Brown,3743,Phone Stand,Accesorios,7,501.1,3507.7,72.35,Entregado,08/04/2024,18/04/2024,Debit Card,1,Tampa,Tienda física,Laura Martinez,2.1,3580.05,27.804307,-80.561006
CLI00002,Jessica Miller,9761,Laptop Pro,Computación,3,77.78,233.34,23.45,Entregado,14/04/2025,19/04/2025,Apple Pay,1,Hialeah,Online,Laura Martinez,3.9,256.79,25.417339,-85.226
CLI00003,Sarah Davis,9038,External SSD,Almacenamiento,2,1827.41,3654.82,32.7,Entregado,23/01/2025,28/01/2025,PayPal,1,Jacksonville,Online,Laura Martinez,1.2,3687.52,25.372512,-81.141075
CLI00004,Jessica Miller,1256,Laptop Pro,Computación,2,242.09,484.18,14.23,Entregado,10/11/2024,15/11/2024,Credit Card,6,Jacksonville,Tienda física,Megan Jackson,3.0,498.41,30.012034,-87.388821
CLI00005,Ashley Taylor,6502,Phone Stand,Accesorios,3,1376.78,4130.34,99.77,Devuelto,25/01/2024,07/02/2024,Debit Card,1,Tallahassee,Online,Chris Thomas,3.3,4230.11,27.016858,-80.493759
CLI00006,Robert Moore,9489,Webcam HD,Video,3,674.34,2023.02,77.0,Entregado,09/11/2024,13/11/2024,Credit Card,3,Hialeah,Online,Megan Jackson,3.8,2100.02,29.453445,-82.902231
CLI00007,Jessica Miller,8400,Smart Watch,Wearables,8,1317.97,10543.76,27.08,Entregado,02/06/2025,05/06/2025,Credit Card,12,Orlando,Online,Chris Thomas,3.0,10570.84,24.800658,-80.389054
CLI00008,Michael Brown,4014,Smart Watch,Wearables,1,209.51,209.51,22.32,Pendiente,10/05/2025,25/05/2025,Credit Card,6,Tampa,Online,Chris Thomas,4.7,231.83,29.06735,-85.810431
CLI00009,Ashley Taylor,4444,External SSD,Almacenamiento,2,1502.26,3004.52,31.47,Entregado,17/03/2024,26/03/2024,Apple Pay,1,Gainesville,Tienda física,Chris Thomas,4.6,3035.99,27.103901,-83.902117
CLI00010,Ashley Taylor,2875,Wireless Headphones,Audio,10,1842.77,18427.7,91.01,Entregado,10/03/2024,25/03/2024,Credit Card,1,Hialeah,Tienda física,Megan Jackson,1.5,18518.71,28.172254,-80.657367
CLI00011,James Wilson,2924,Mechanical Keyboard,Periféricos,6,1733.57,10401.42,60.83,Entregado,15/02/2025,22/02/2025,Debit Card,1,Jacksonville,Tienda física,Laura Martinez,3.9,10462.25,26.404726,-81.542867
CLI00012,Ashley Taylor,7165,Phone Stand,Accesorios,4,845.56,3382.24,91.57,Entregado,18/07/2025,28/07/2025,PayPal,1,Miami,Online,Chris Thomas,3.6,3473.81,27.394985,-87.102368
CLI00013,Sarah Davis,9660,USB-C Hub,Accesorios,5,543.0,2715.0,13.66,En tránsito,23/09/2024,08/10/2024,Bank Transfer,1,Fort Lauderdale,Online,Chris Thomas,2.2,2728.66,25.955672,-82.983516
CLI00014,Ashley Taylor,7652,Gaming Mouse,Periféricos,7,1771.83,12402.81,37.09,Entregado,10/02/2025,25/02/2025,Apple Pay,1,Orlando,Online,David Anderson,2.6,12439.9,27.814318,-81.977316
CLI00015,Emily Johnson,4608,USB-C Hub,Accesorios,8,877.6,7020.8,68.33,Entregado,14/06/2025,28/06/2025,PayPal,1,Hialeah,Online,Megan Jackson,4.6,7089.13,28.857157,-85.758111
CLI00016,John Smith,9462,External SSD,Almacenamiento,2,612.9,1225.8,58.73,Pendiente,03/05/2024,09/05/2024,PayPal,1,Fort Lauderdale,Tienda física,Chris Thomas,3.6,1284.53,28.262186,-82.760517
