ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Altagracia Sánchez,2738,Juego de sábanas,Ropa de cama,7,725.13,5075.91,51.93,Entregado,02/04/2025,10/04/2025,Tarjeta débito,1,San Pedro de Macorís,Online,Ángela Peña,1.2,5127.84,19.567258,-71.386402
CLI00002,Rosa Martínez,9790,Tapete de sala,Decoración,4,742.03,2968.12,14.43,Entregado,08/12/2024,12/12/2024,Efectivo,1,San Francisco de Macorís,Tienda física,Ángela Peña,2.9,2982.55,19.729417,-70.405347
CLI00003,Isabel Reyes,1778,Ventilador,Electrodomésticos,10,268.03,2680.3,45.52,Entregado,30/12/2025,03/01/2026,Tarjeta crédito,1,San Pedro de Macorís,Online,Roberto Cruz,4.2,2725.82,18.395722,-68.387563
CLI00004,Isabel Reyes,2406,Vajilla completa,Cocina,6,29.91,179.46,23.74,Entregado,16/05/2024,29/05/2024,Efectivo,1,Higüey,Tienda física,Alejandro Flores,1.0,203.2,17.579547,-69.648244
CLI00005,Pedro Núñez,2487,Vajilla completa,Cocina,4,62.26,249.04,20.68,En tránsito,03/01/2025,07/01/2025,Tarjeta débito,1,San Pedro de Macorís,Online,Alejandro Flores,4.6,269.72,18.356841,-71.230005
CLI00006,Altagracia Sánchez,9746,Plancha de vapor,Electrodomésticos,4,525.87,2103.48,26.32,Entregado,13/07/2025,18/07/2025,Tarjeta crédito,6,Barahona,Online,Ángela Peña,1.5,2129.8,18.563567,-71.174751
CLI00007,Pedro Núñez,1613,Licuadora,Electrodomésticos,4,237.89,951.56,43.91,Cancelado,09/01/2024,24/01/2024,Tarjeta crédito,12,Higüey,Online,Alejandro Flores,5.0,995.47,18.262892,-68.920132
CLI00008,Pedro Núñez,8910,Vajilla completa,Cocina,1,67.94,67.94,24.4,Entregado,13/03/2024,23/03/2024,Transferencia bancaria,1,La Romana,Online,Ángela Peña,4.2,92.34,17.627192,-69.669229
CLI00009,Francisco Medina,3839,Cortinas blackout,Decoración,4,93.62,374.48,6.94,Entregado,11/07/2024,23/07/2024,Transferencia bancaria,1,Puerto Plata,Tienda física,Roberto Cruz,4.9,381.42,19.486357,-69.055213
CLI00010,Pedro Núñez,8131,Olla a presión,Cocina,7,595.72,4170.04,51.87,Entregado,18/12/2025,22/12/2025,Tarjeta crédito,1,Barahona,Online,Ángela Peña,2.7,4221.91,17.417569,-70.13273
CLI00011,Isabel Reyes,5516,Tapete de sala,Decoración,7,581.25,4068.75,43.57,En tránsito,03/11/2025,07/11/2025,Transferencia bancaria,1,Puerto Plata,Online,Ángela Peña,1.7,4112.32,17.481679,-70.120398
CLI00012,Juan Fernández,6228,Cortinas blackout,Decoración,8,483.07,3864.56,9.29,En tránsito,27/03/2024,09/04/2024,Efectivo,1,La Romana,Tienda física,Roberto Cruz,3.0,3873.85,19.70862,-68.944088
CLI00013,Isabel Reyes,3289,Toalla de baño,Baño,7,753.48,5274.36,37.83,En tránsito,21/10/2024,04/11/2024,Tarjeta crédito,6,Higüey,Tienda física,Miriam Santos,1.3,5312.19,18.274949,-68.870049
CLI00014,Pedro Núñez,4710,Almohada memory foam,Ropa de cama,4,789.85,3159.4,30.67,Entregado,27/07/2025,06/08/2025,Tarjeta crédito,3,San Pedro de Macorís,Online,Alejandro Flores,2.8,3190.07,17.92862,-68.841917
CLI00015,Isabel Reyes,6077,Ventilador,Electrodomésticos,5,428.74,2143.7,43.89,Entregado,03/06/2024,09/06/2024,Efectivo,1,Higüey,Tienda física,Miriam Santos,3.8,2187.59,17.733001,-71.419894
CLI00016,Juan Fernández,9524,Vajilla completa,Cocina,6,686.86,4121.16,33.69,Entregado,09/03/2024,12/03/2024,Transferencia bancaria,1,Santo Domingo,Online,Miriam Santos,1.2,4154.85,18.001129,-70.165898
CLI00017,Rosa Martínez,3233,Vajilla completa,Cocina,6,614.01,3684.06,26.14,Entregado,30/01/2024,02/02/2024,Tarjeta crédito,3,Santiago,Tienda física,Alejandro Flores,3.8,3710.2,18.365101,-69.37441
CLI00018,Francisco Medina,7471,Toalla de baño,Baño,1,451.22,451.22,47.96,Devuelto,21/06/2025,30/06/2025,Transferencia bancaria,1,Higüey,Online,Miriam Santos,1.8,499.18,19.909198,-70.511425
CLI00019,Carmen Jiménez,9244,Licuadora,Electrodomésticos,6,667.63,4005.78,42.08,Pendiente,20/05/2025,02/06/2025,Transferencia bancaria,1,Higüey,Tienda física,Miriam Santos,4.8,4047.86,17.716526,-69.662055
CLI00020,Altagracia Sánchez,1689,Ventilador,Electrodomésticos,2,877.99,1755.98,11.93,Entregado,21/02/2025,02/03/2025,Tarjeta crédito,12,La Romana,Tienda física,Miriam Santos,2.1,1767.91,19.023087,-71.262751
CLI00021,Juan Fernández,1882,Plancha de vapor,Electrodomésticos,5,511.28,2556.4,43.34,Entregado,26/05/2024,05/06/2024,Efectivo,1,Puerto Plata,Online,Alejandro Flores,4.3,2599.74,19.150729,-70.990309
CLI00022,Rosa Martínez,8720,Ventilador,Electrodomésticos,5,273.96,1369.8,17.74,Entregado,03/09/2024,12/09/2024,Efectivo,1,San Francisco de Macorís,Online,Alejandro Flores,2.3,1387.54,19.008694,-71.629294
CLI00023,Pedro Núñez,1927,Juego de sábanas,Ropa de cama,2,719.98,1439.96,41.09,Cancelado,05/07/2025,11/07/2025,Transferencia bancaria,1,Santo Domingo,Online,Miriam Santos,3.9,1481.05,19.876849,-71.881418
