ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,田中太郎,8800,電子書籍リーダー,電子書籍,2,1280.12,2560.24,90.34,Cancelado,20/05/2024,04/06/2024,銀行振込,1,名古屋,Tienda física,松本由美,1.8,2650.58,40.985393,145.745901
CLI00002,伊藤誠,4362,タブレット,タブレット,1,127.23,127.23,86.38,Entregado,09/04/2025,16/04/2025,デビットカード,1,神戸,Online,加藤雄介,2.3,213.61,35.72342,136.959663
CLI00003,山田愛,8224,タブレット,タブレット,5,2070.65,10353.25,32.04,Entregado,25/02/2025,05/03/2025,クレジットカード,1,東京,Online,松本由美,3.8,10385.29,39.027938,136.438408
CLI00004,伊藤誠,7721,スマートフォン,スマートフォン,8,2105.74,16845.92,45.81,Entregado,01/06/2025,09/06/2025,PayPay,1,東京,Tienda física,加藤雄介,3.0,16891.73,31.500889,143.829736
CLI00005,山田愛,8839,アクションカメラ,カメラ,9,967.06,8703.54,35.14,Entregado,07/08/2025,12/08/2025,デビットカード,1,横浜,Tienda física,林奈々,3.2,8738.68,41.330424,130.264181
CLI00006,伊藤誠,8690,ノートパソコン,パソコン,4,2341.83,9367.32,50.73,Devuelto,19/05/2024,02/06/2024,銀行振込,1,福岡,Tienda física,木村翔,3.2,9418.05,45.262048,140.018551
CLI00007,佐藤健,5307,スマートウォッチ,ウェアラブル,7,1578.0,11046.0,36.53,Entregado,17/11/2025,22/11/2025,クレジットカード,12,さいたま,Tienda física,林奈々,3.0,11082.53,44.483898,127.505073
CLI00008,小林さくら,9515,ドローン,ドローン,8,2418.53,19348.24,34.18,En tránsito,25/11/2025,03/12/2025,デビットカード,1,名古屋,Tienda física,松本由美,4.3,19382.42,34.984109,135.641018
CLI00009,渡辺美咲,5124,スマートウォッチ,ウェアラブル,1,840.2,840.2,95.55,Entregado,14/05/2025,22/05/2025,現金,1,名古屋,Online,木村翔,1.3,935.75,24.158328,136.021556
CLI00010,小林さくら,1856,スマートフォン,スマートフォン,4,685.78,2743.12,78.34,En tránsito,26/09/2024,04/10/2024,デビットカード,1,福岡,Online,林奈々,1.7,2821.46,35.239705,124.794504
CLI00011,伊藤誠,4710,電子書籍リーダー,電子書籍,1,72.0,72.0,63.46,Entregado,24/03/2025,30/03/2025,銀行振込,1,札幌,Online,加藤雄介,3.9,135.46,40.97089,125.784425
CLI00012,小林さくら,6462,タブレット,タブレット,4,899.28,3597.12,40.73,Pendiente,25/12/2025,03/01/2026,クレジットカード,6,川崎,Tienda física,木村翔,2.9,3637.85,25.379848,127.634714
CLI00013,山田愛,9253,スマートフォン,スマートフォン,6,737.74,4426.44,34.2,Devuelto,04/07/2025,08/07/2025,クレジットカード,1,さいたま,Tienda física,松本由美,4.8,4460.64,32.17669,126.898887
CLI00014,渡辺美咲,8584,電子書籍リーダー,電子書籍,2,1709.68,3419.36,111.55,Devuelto,03/07/2025,06/07/2025,PayPay,1,大阪,Tienda física,松本由美,1.1,3530.91,33.069107,134.977621
CLI00015,佐藤健,4017,スマートフォン,スマートフォン,2,1111.58,2223.16,141.05,Entregado,12/10/2024,22/10/2024,クレジットカード,3,神戸,Tienda física,松本由美,3.2,2364.21,44.73998,138.083399
CLI00016,佐藤健,8805,タブレット,タブレット,7,1035.51,7248.57,140.06,Cancelado,23/12/2024,03/01/2025,PayPay,1,川崎,Tienda física,加藤雄介,4.1,7388.63,42.633216,129.153907
CLI00017,山田愛,9567,スマートウォッチ,ウェアラブル,6,2003.03,12018.18,67.72,En tránsito,16/08/2025,28/08/2025,PayPay,1,川崎,Online,加藤雄介,2.1,12085.9,39.015586,145.406555
CLI00018,鈴木花子,7481,スマートウォッチ,ウェアラブル,9,1430.85,12877.65,14.4,Entregado,28/07/2024,03/08/2024,銀行振込,1,横浜,Tienda física,林奈々,2.8,12892.05,38.148181,138.56923
CLI00019,鈴木花子,5200,アクションカメラ,カメラ,3,1428.46,4285.38,118.01,Cancelado,21/05/2024,27/05/2024,銀行振込,1,福岡,Tienda física,木村翔,1.2,4403.39,39.870183,145.506133
CLI00020,中村拓也,5534,スマートウォッチ,ウェアラブル,6,2362.06,14172.36,42.23,Devuelto,17/05/2025,24/05/2025,現金,1,福岡,Tienda física,加藤雄介,3.3,14214.59,44.797895,131.708522
CLI00021,中村拓也,3015,アクションカメラ,カメラ,10,1663.67,16636.7,51.47,Pendiente,18/03/2025,25/03/2025,クレジットカード,6,横浜,Online,加藤雄介,1.8,16688.17,42.533581,127.857237
CLI00022,田中太郎,6141,タブレット,タブレット,8,2015.86,16126.88,141.14,En tránsito,15/11/2025,30/11/2025,デビットカード,1,東京,Tienda física,木村翔,1.5,16268.02,30.067287,133.651166
CLI00023,小林さくら,4117,ノートパソコン,パソコン,10,869.53,8695.3,151.09,Entregado,15/07/2025,21/07/2025,PayPay,1,東京,Tienda física,加藤雄介,3.8,8846.39,27.212012,143.6849
CLI00024,佐藤健,3246,ワイヤレスイヤホン,オーディオ,2,831.81,1663.62,93.09,Pendiente,14/05/2025,25/05/2025,クレジットカード,3,福岡,Online,加藤雄介,4.5,1756.71,30.700949,142.483495
CLI00025,鈴木花子,7385,スマートウォッチ,ウェアラブル,7,837.85,5864.95,52.95,Entregado,21/07/2025,31/07/2025,デビットカード,1,札幌,Tienda física,松本由美,2.5,5917.9,30.170887,132.72825
CLI00026,鈴木花子,1213,スマートフォン,スマートフォン,9,315.5,2839.5,28.39,Entregado,31/12/2024,08/01/2025,現金,1,札幌,Online,林奈々,4.3,2867.89,31.562922,135.090972
CLI00027,渡辺美咲,7105,アクションカメラ,カメラ,7,1771.02,12397.14,78.19,Entregado,29/07/2025,04/08/2025,現金,1,神戸,Tienda física,松本由美,1.1,12475.33,30.752394,134.738184
CLI00028,中村拓也,4452,アクションカメラ,カメラ,4,87.66,350.64,106.41,Devuelto,28/11/2024,12/12/2024,クレジットカード,12,東京,Tienda física,木村翔,1.6,457.05,35.978812,125.581371
CLI00029,中村拓也,9875,アクションカメラ,カメラ,7,1377.86,9645.02,95.39,En tránsito,16/02/2024,29/02/2024,PayPay,1,福岡,Tienda física,松本由美,1.1,9740.41,35.613191,125.872235
CLI00030,佐藤健,9982,タブレット,タブレット,9,1335.0,12015.0,101.97,Pendiente,22/11/2024,28/11/2024,PayPay,1,京都,Online,木村翔,4.1,12116.97,37.119609,143.683755
CLI00031,鈴木花子,7403,スマートフォン,スマートフォン,3,1235.23,3705.69,130.68,Entregado,11/04/2024,20/04/2024,現金,1,札幌,Tienda física,松本由美,4.5,3836.37,27.400009,123.236935
CLI00032,佐藤健,9651,タブレット,タブレット,10,1635.1,16351.0,96.52,En tránsito,20/11/2024,01/12/2024,クレジットカード,12,さいたま,Online,松本由美,3.8,16447.52,43.991904,133.402165
CLI00033,鈴木花子,5564,ゲームコントローラー,ゲーム,7,421.69,2951.83,22.44,Devuelto,11/09/2025,26/09/2025,デビットカード,1,名古屋,Tienda física,木村翔,1.8,2974.27,45.129327,139.051035
CLI00034,伊藤誠,6493,タブレット,タブレット,1,1727.71,1727.71,131.8,Devuelto,31/01/2025,14/02/2025,クレジットカード,1,大阪,Tienda física,林奈々,4.7,1859.51,32.692542,128.23604
CLI00035,鈴木花子,3208,ゲームコントローラー,ゲーム,8,423.82,3390.56,136.01,Pendiente,23/01/2025,30/01/2025,PayPay,1,神戸,Online,林奈々,4.3,3526.57,32.101787,128.901788
CLI00036,田中太郎,3256,ノートパソコン,パソコン,10,790.93,7909.3,23.19,Entregado,17/07/2025,28/07/2025,デビットカード,1,川崎,Online,加藤雄介,1.0,7932.49,43.725515,139.010886
CLI00037,佐藤健,1894,ノートパソコン,パソコン,7,1907.33,13351.31,56.27,Entregado,03/07/2025,14/07/2025,デビットカード,1,東京,Online,松本由美,4.8,13407.58,35.508213,135.126104
