ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Camille Bernard,4339,Crème visage,Soin visage,1,1263.77,1263.77,91.97,Entregado,04/05/2025,12/05/2025,Carte de crédit,12,Marseille,Online,Isabelle Moreau,4.4,1355.74,44.221868,0.289789
CLI00002,Julien Robert,7815,Parfum luxe,Parfumerie,8,312.97,2503.76,54.11,Entregado,12/01/2024,18/01/2024,PayPal,1,Nice,Tienda física,Isabelle Moreau,4.2,2557.87,45.309828,4.334429
CLI00003,Camille Bernard,3891,Fond de teint,Maquillage,3,1348.4,4045.2,65.43,Entregado,23/12/2024,30/12/2024,Apple Pay,1,Bordeaux,Tienda física,Antoine Laurent,1.6,4110.63,42.855482,0.295176
CLI00004,Amélie Petit,4819,Huile essentielle,Aromathérapie,5,1529.15,7645.75,96.77,En tránsito,27/08/2024,09/09/2024,PayPal,1,Strasbourg,Tienda física,Céline Michel,4.6,7742.52,46.199954,-2.237743
CLI00005,Camille Bernard,2732,Mascara volume,Maquillage,5,1483.34,7416.7,72.43,Pendiente,19/07/2024,31/07/2024,Virement bancaire,1,Rennes,Online,Isabelle Moreau,1.1,7489.13,48.685466,1.96179
CLI00006,Amélie Petit,1421,Eau de toilette,Parfumerie,10,1463.3,14633.0,84.18,Entregado,20/01/2025,23/01/2025,PayPal,1,Toulouse,Online,Céline Michel,1.5,14717.18,42.911289,-0.568444
CLI00007,Marie Leroy,2746,Lotion corporelle,Soin corps,1,691.79,691.79,53.75,Pendiente,15/09/2025,24/09/2025,Carte de crédit,12,Strasbourg,Tienda física,Isabelle Moreau,2.9,745.54,51.077295,-2.091848
CLI00008,Sophie Dubois,5972,Palette maquillage,Maquillage,4,855.68,3422.72,83.74,Entregado,06/05/2025,17/05/2025,PayPal,1,Nice,Online,Antoine Laurent,4.3,3506.46,44.205211,2.643943
CLI00009,Amélie Petit,4460,Lotion corporelle,Soin corps,7,675.68,4729.76,42.33,Entregado,26/01/2025,05/02/2025,Carte de crédit,1,Nice,Online,Antoine Laurent,1.2,4772.09,45.792125,-2.568708
CLI00010,François Simon,9388,Mascara volume,Maquillage,5,202.44,1012.2,119.64,Entregado,11/12/2024,21/12/2024,Apple Pay,1,Lille,Online,Maxime Lefebvre,2.3,1131.84,43.442774,0.955842
CLI00011,Amélie Petit,9274,Fond de teint,Maquillage,9,1829.48,16465.32,47.87,En tránsito,15/08/2024,22/08/2024,Virement bancaire,1,Rennes,Online,Céline Michel,4.2,16513.19,50.707989,7.759051
CLI00012,Pierre Martin,8311,Fond de teint,Maquillage,3,1385.06,4155.18,119.09,Pendiente,07/09/2024,10/09/2024,Carte de débit,1,Lille,Tienda física,Maxime Lefebvre,4.4,4274.27,44.450712,1.611538
CLI00013,Marie Leroy,7901,Fond de teint,Maquillage,9,336.43,3027.87,99.89,Cancelado,02/06/2025,09/06/2025,Apple Pay,1,Nantes,Tienda física,Céline Michel,4.6,3127.76,45.60159,6.605662
CLI00014,Camille Bernard,7972,Fond de teint,Maquillage,6,1087.55,6525.3,41.2,Entregado,21/03/2025,30/03/2025,Virement bancaire,1,Paris,Online,Isabelle Moreau,4.8,6566.5,47.468838,5.937042
CLI00015,Camille Bernard,5237,Palette maquillage,Maquillage,5,797.07,3985.35,30.56,En tránsito,16/05/2025,22/05/2025,Carte de débit,1,Marseille,Tienda física,Céline Michel,2.7,4015.91,49.592104,7.830637
CLI00016,Sophie Dubois,4343,Lotion corporelle,Soin corps,4,142.37,569.48,24.56,En tránsito,06/11/2025,11/11/2025,Virement bancaire,1,Nice,Online,Céline Michel,4.5,594.04,49.692345,-0.703302
CLI00017,Camille Bernard,5104,Huile essentielle,Aromathérapie,9,1848.69,16638.21,20.26,Entregado,03/09/2025,15/09/2025,Apple Pay,1,Marseille,Online,Isabelle Moreau,2.4,16658.47,48.492238,-0.533135
CLI00018,Camille Bernard,1956,Eau de toilette,Parfumerie,7,868.15,6077.05,29.14,Entregado,22/01/2024,31/01/2024,Carte de débit,1,Marseille,Online,Isabelle Moreau,1.4,6106.19,46.127649,6.933385
CLI00019,François Simon,7476,Lotion corporelle,Soin corps,2,764.34,1528.68,91.07,Entregado,20/11/2024,30/11/2024,Carte de crédit,12,Paris,Online,Isabelle Moreau,4.8,1619.75,50.290438,0.71136
CLI00020,Sophie Dubois,9678,Crème visage,Soin visage,10,345.97,3459.7,60.61,Entregado,02/06/2025,08/06/2025,Apple Pay,1,Strasbourg,Online,Maxime Lefebvre,3.8,3520.31,44.246638,-4.246463
CLI00021,Marie Leroy,7152,Fond de teint,Maquillage,1,1253.49,1253.49,38.62,Entregado,05/08/2024,18/08/2024,PayPal,1,Lyon,Tienda física,Isabelle Moreau,3.7,1292.11,45.913113,7.736045
CLI00022,Camille Bernard,1177,Parfum luxe,Parfumerie,1,1910.98,1910.98,122.85,Entregado,06/09/2024,19/09/2024,PayPal,1,Nice,Online,Maxime Lefebvre,4.7,2033.83,49.048553,3.069747
