ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Diego Ramírez,8754,Yoga mat,Yoga,2,357.13,714.26,12.34,Entregado,22/12/2024,25/12/2024,OXXO Pay,1,Cancún,Tienda física,Jorge Salinas,3.5,726.6,21.373977,-102.999972
CLI00002,Diego Ramírez,4249,Mochila deportiva,Accesorios,4,305.68,1222.72,19.35,Pendiente,21/09/2024,06/10/2024,Transferencia SPEI,1,León,Online,Claudia Romero,3.2,1242.07,21.130123,-115.655816
CLI00003,Patricia Vega,6054,Rodilleras,Protección,4,166.91,667.64,6.1,Pendiente,25/10/2024,01/11/2024,OXXO Pay,1,Zapopan,Tienda física,Jorge Salinas,1.8,673.74,23.043949,-105.939509
CLI00004,Diego Ramírez,3853,Rodilleras,Protección,4,405.65,1622.6,12.2,Entregado,23/07/2025,04/08/2025,Transferencia SPEI,1,Tijuana,Online,Héctor Domínguez,3.9,1634.8,19.197722,-107.783442
CLI00005,Rodrigo Guzmán,8715,Balón de fútbol,Fútbol,6,262.0,1572.0,5.92,Entregado,25/07/2025,01/08/2025,Tarjeta crédito,6,León,Tienda física,Jorge Salinas,2.6,1577.92,20.895674,-87.257707
CLI00006,Patricia Vega,4961,Rodilleras,Protección,10,122.27,1222.7,19.86,Pendiente,27/12/2025,06/01/2026,Transferencia SPEI,1,Puebla,Tienda física,Héctor Domínguez,3.9,1242.56,31.407086,-103.422156
CLI00007,Rodrigo Guzmán,9212,Botella térmica,Accesorios,5,255.49,1277.45,10.76,Devuelto,21/08/2024,05/09/2024,Transferencia SPEI,1,Juárez,Tienda física,Claudia Romero,2.4,1288.21,26.269116,-105.984351
CLI00008,Valeria Ríos,5607,Yoga mat,Yoga,6,331.58,1989.48,2.05,Entregado,06/02/2025,15/02/2025,Transferencia SPEI,1,Juárez,Online,Nadia Fuentes,1.3,1991.53,18.683386,-97.050567
CLI00009,Valeria Ríos,8157,Cuerda para saltar,Fitness,5,217.33,1086.65,9.32,Entregado,26/09/2024,02/10/2024,Tarjeta crédito,6,Zapopan,Tienda física,Héctor Domínguez,4.8,1095.97,21.171164,-99.337629
CLI00010,Lucía Moreno,8167,Botella térmica,Accesorios,7,144.07,1008.49,20.97,En tránsito,07/06/2024,11/06/2024,Transferencia SPEI,1,Ciudad de México,Online,Héctor Domínguez,1.3,1029.46,20.455607,-95.127444
