ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Екатерина Смирнова,3230,Смартфон,Телефоны,2,9.67,19.34,16.93,Entregado,29/05/2024,10/06/2024,Электронный кошелёк,1,Санкт-Петербург,Tienda física,Татьяна Волкова,2.5,36.27,66.307317,38.142998
CLI00002,Михаил Лебедев,6849,Ноутбук,Компьютеры,7,99.02,693.14,3.35,Entregado,21/03/2025,26/03/2025,Наличные,1,Ростов-на-Дону,Tienda física,Владимир Петров,3.5,696.49,52.094049,68.190257
CLI00003,Наталья Козлова,4516,Веб-камера,Видео,6,91.75,550.5,11.22,Entregado,11/03/2024,16/03/2024,Дебетовая карта,1,Нижний Новгород,Online,Андрей Зайцев,1.0,561.72,59.10387,42.758629
CLI00004,Анна Соколова,7557,Зарядное устройство,Аксессуары,3,257.07,771.21,9.66,Devuelto,10/11/2024,23/11/2024,Электронный кошелёк,1,Санкт-Петербург,Tienda física,Андрей Зайцев,4.1,780.87,62.285831,45.02783
CLI00005,Александр Иванов,4383,Мышь беспроводная,Периферия,8,118.84,950.72,13.05,Entregado,01/09/2024,04/09/2024,СБП,1,Самара,Tienda física,Татьяна Волкова,3.3,963.77,59.833802,56.526374
CLI00006,Анна Соколова,6801,Умные часы,Носимые,3,240.42,721.26,12.47,Entregado,22/10/2025,01/11/2025,Электронный кошелёк,1,Москва,Online,Владимир Петров,1.9,733.73,50.868261,58.387433
CLI00007,Сергей Новиков,7201,Наушники,Аудио,8,319.06,2552.48,4.07,En tránsito,06/05/2025,15/05/2025,Дебетовая карта,1,Нижний Новгород,Online,Андрей Зайцев,1.1,2556.55,61.617705,70.863343
CLI00008,Наталья Козлова,4999,Зарядное устройство,Аксессуары,10,240.9,2409.0,6.77,Entregado,27/11/2025,10/12/2025,Электронный кошелёк,1,Нижний Новгород,Tienda física,Владимир Петров,2.5,2415.77,61.852307,39.955955
CLI00009,Сергей Новиков,7753,Смартфон,Телефоны,3,149.08,447.24,8.08,En tránsito,04/09/2025,09/09/2025,Наличные,1,Омск,Online,Владимир Петров,3.7,455.32,52.041099,78.737723
CLI00010,Дмитрий Попов,4208,Планшет,Планшеты,3,284.29,852.87,20.32,Entregado,13/10/2025,22/10/2025,СБП,1,Санкт-Петербург,Tienda física,Марина Павлова,1.7,873.19,59.231242,55.054564
CLI00011,Дмитрий Попов,4599,Планшет,Планшеты,1,35.33,35.33,7.56,En tránsito,02/08/2025,14/08/2025,Дебетовая карта,1,Екатеринбург,Online,Андрей Зайцев,3.1,42.89,60.94903,53.980403
