ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,Fatma Kaya,2246,Deri ceket,Dış giyim,2,241.9,483.8,5.68,En tránsito,29/10/2025,10/11/2025,Kapıda ödeme,1,Adana,Tienda física,Emre Öztürk,3.3,489.48,37.461768,39.923654
CLI00002,Elif Koç,5877,Pamuklu gömlek,Gömlek,1,169.65,169.65,3.82,Entregado,22/12/2024,31/12/2024,Havale,1,Antalya,Online,Hasan Aydın,2.5,173.47,37.390754,27.774063
CLI00003,Zeynep Yıldız,9491,Şapka,Aksesuar,6,438.55,2631.3,10.66,En tránsito,26/06/2025,06/07/2025,Havale,1,Adana,Online,Merve Doğan,4.7,2641.96,38.74614,43.647503
CLI00004,Ayşe Çelik,2937,Spor ayakkabı,Ayakkabı,7,549.6,3847.2,12.93,Devuelto,05/06/2024,08/06/2024,Kredi kartı,12,Antalya,Online,Hasan Aydın,2.8,3860.13,36.14304,33.193955
CLI00005,Fatma Kaya,9652,Şapka,Aksesuar,7,125.42,877.94,26.45,En tránsito,15/08/2024,27/08/2024,Havale,1,Bursa,Online,Selin Akın,3.0,904.39,40.323975,44.234262
CLI00006,Mehmet Yılmaz,2411,Kemer,Aksesuar,5,152.03,760.15,9.09,Entregado,18/03/2024,21/03/2024,Havale,1,Bursa,Online,Emre Öztürk,4.6,769.24,38.911613,44.79184
CLI00007,Ayşe Çelik,1482,Kot pantolon,Pantolon,4,500.8,2003.2,5.8,Entregado,10/04/2024,19/04/2024,Nakit,1,Antalya,Tienda física,Merve Doğan,4.1,2009.0,41.099317,43.475046
CLI00008,Zeynep Yıldız,3876,Eşarp,Aksesuar,8,257.85,2062.8,7.58,Entregado,01/02/2024,13/02/2024,Havale,1,İzmir,Online,Hasan Aydın,3.4,2070.38,37.860528,32.34854
CLI00009,Zeynep Yıldız,5966,Eşarp,Aksesuar,3,408.36,1225.08,12.71,Entregado,25/06/2024,10/07/2024,Kredi kartı,1,Bursa,Tienda física,Merve Doğan,3.8,1237.79,37.165229,34.552606
CLI00010,Fatma Kaya,5396,Eşarp,Aksesuar,2,108.8,217.6,12.72,En tránsito,21/03/2025,04/04/2025,Kredi kartı,6,Antalya,Online,Selin Akın,3.2,230.32,41.826868,33.79096
CLI00011,Fatma Kaya,3360,Spor ayakkabı,Ayakkabı,6,261.27,1567.62,16.65,Entregado,06/01/2024,16/01/2024,Nakit,1,Mersin,Tienda física,Hasan Aydın,4.5,1584.27,37.119551,34.099547
CLI00012,Mehmet Yılmaz,2486,Kemer,Aksesuar,4,278.82,1115.28,30.45,Entregado,17/11/2024,20/11/2024,Nakit,1,Mersin,Online,Emre Öztürk,2.0,1145.73,40.068867,32.934666
CLI00013,Zeynep Yıldız,5624,Deri ceket,Dış giyim,5,348.26,1741.3,15.03,Entregado,18/12/2024,29/12/2024,Havale,1,Antalya,Tienda física,Emre Öztürk,3.5,1756.33,41.216737,35.926554
CLI00014,Fatma Kaya,1643,Kot pantolon,Pantolon,4,414.66,1658.64,15.63,Entregado,10/03/2025,23/03/2025,Nakit,1,Konya,Online,Merve Doğan,3.5,1674.27,40.444754,39.427
CLI00015,İbrahim Arslan,7990,Saat,Aksesuar,4,350.74,1402.96,3.97,En tránsito,14/11/2025,18/11/2025,Kredi kartı,3,Adana,Tienda física,Selin Akın,4.3,1406.93,36.225859,33.05697
CLI00016,İbrahim Arslan,9966,Pamuklu gömlek,Gömlek,4,521.51,2086.04,25.11,Entregado,24/05/2024,29/05/2024,Nakit,1,Antalya,Tienda física,Selin Akın,4.0,2111.15,39.130508,42.493242
CLI00017,Elif Koç,7424,Şapka,Aksesuar,3,243.39,730.17,8.42,Entregado,14/03/2025,24/03/2025,Banka kartı,1,Adana,Online,Merve Doğan,3.3,738.59,36.072896,30.435748
CLI00018,Elif Koç,1894,Çanta deri,Aksesuar,8,165.82,1326.56,12.1,Pendiente,17/03/2025,31/03/2025,Kapıda ödeme,1,Mersin,Online,Merve Doğan,1.9,1338.66,37.988973,32.148363
CLI00019,Elif Koç,8808,Eşarp,Aksesuar,3,87.59,262.77,24.88,Entregado,12/12/2025,18/12/2025,Kredi kartı,6,İstanbul,Online,Hasan Aydın,3.5,287.65,41.66531,34.053733
CLI00020,Mehmet Yılmaz,2292,Deri ceket,Dış giyim,5,404.84,2024.2,25.14,Entregado,01/08/2024,16/08/2024,Kredi kartı,12,Ankara,Online,Selin Akın,2.0,2049.34,37.59628,39.723725
CLI00021,Ahmet Demir,2012,Pamuklu gömlek,Gömlek,1,272.42,272.42,26.15,Entregado,26/04/2025,06/05/2025,Nakit,1,Mersin,Online,Merve Doğan,1.9,298.57,39.941639,29.222989
CLI00022,Ayşe Çelik,4888,Şapka,Aksesuar,8,113.94,911.52,4.84,Entregado,03/02/2025,15/02/2025,Havale,1,Gaziantep,Tienda física,Emre Öztürk,2.7,916.36,36.595888,42.55222
CLI00023,Zeynep Yıldız,9754,Spor ayakkabı,Ayakkabı,5,367.73,1838.65,3.2,Entregado,07/04/2025,21/04/2025,Kredi kartı,1,Ankara,Tienda física,Selin Akın,2.2,1841.85,40.641165,31.992326
CLI00024,Fatma Kaya,5542,Kemer,Aksesuar,7,106.88,748.16,9.92,Pendiente,11/06/2024,15/06/2024,Havale,1,Bursa,Online,Merve Doğan,3.2,758.08,36.117033,27.266044
CLI00025,Ayşe Çelik,4266,Spor ayakkabı,Ayakkabı,10,108.43,1084.3,22.18,Entregado,26/11/2025,07/12/2025,Nakit,1,Mersin,Tienda física,Merve Doğan,3.9,1106.48,36.175585,36.420015
CLI00026,İbrahim Arslan,8984,Deri ceket,Dış giyim,2,236.72,473.44,23.54,Pendiente,27/12/2024,04/01/2025,Banka kartı,1,Mersin,Online,Hasan Aydın,4.7,496.98,39.286054,30.872866
