ID Cliente,Nombre Cliente,ID Producto,Producto,Categoría del Producto,Cantidad,Precio Unitario,Precio,Costo de envío,Estado de Envío,Fecha de Compra,Fecha de Envío,Método de pago,Cantidad de cuotas,Ciudad,Lugar de Compra,Vendedor,Calificación,Total Venta,lat,lon
CLI00001,郑霞,6540,平板电脑,平板,7,184.56,1291.92,5.2,En tránsito,19/04/2024,26/04/2024,微信支付,1,武汉,Tienda física,徐丽,2.4,1297.12,45.96393,116.098389
CLI00002,张敏,7859,电动牙刷,个人护理,7,217.03,1519.21,1.9,En tránsito,19/10/2024,02/11/2024,银联卡,1,成都,Tienda física,徐丽,3.5,1521.11,44.305989,131.639758
CLI00003,张敏,1359,智能摄像头,智能家居,2,152.54,305.08,13.73,Entregado,12/06/2025,19/06/2025,支付宝,1,武汉,Online,朱燕,4.4,318.81,36.056632,124.776386
CLI00004,吴强,4102,移动电源,配件,4,296.1,1184.4,2.84,En tránsito,05/03/2024,11/03/2024,银联卡,1,重庆,Tienda física,马超,4.8,1187.24,37.483168,112.284054
CLI00005,郑霞,1062,移动电源,配件,1,199.94,199.94,2.76,Entregado,21/02/2024,06/03/2024,支付宝,1,西安,Tienda física,徐丽,2.1,202.7,49.583978,110.981965
CLI00006,赵磊,6351,扫地机器人,智能家居,5,179.14,895.7,17.9,Entregado,23/05/2024,02/06/2024,支付宝,1,武汉,Tienda física,马超,3.9,913.6,35.020406,117.485853
CLI00007,杨军,7073,无线耳机,音频,6,87.03,522.18,11.96,En tránsito,14/09/2024,27/09/2024,微信支付,1,北京,Online,徐丽,3.8,534.14,36.735978,107.454201
CLI00008,刘洋,2372,智能手表,穿戴设备,10,263.22,2632.2,3.65,En tránsito,26/05/2025,09/06/2025,现金,1,成都,Online,朱燕,2.6,2635.85,28.861887,95.196047
CLI00009,吴强,8514,移动电源,配件,1,63.72,63.72,9.88,Entregado,16/03/2024,31/03/2024,现金,1,南京,Tienda física,马超,4.0,73.6,44.421951,93.755833
CLI00010,杨军,9508,智能手机,手机,3,21.6,64.8,2.94,En tránsito,04/08/2025,18/08/2025,现金,1,武汉,Tienda física,孙明,4.7,67.74,52.74676,89.39498
CLI00011,吴强,5310,无线耳机,音频,8,284.57,2276.56,1.39,Entregado,23/07/2025,30/07/2025,网银转账,1,深圳,Online,马超,5.0,2277.95,32.900594,74.676858
CLI00012,周婷,2827,智能摄像头,智能家居,5,121.27,606.35,8.03,Pendiente,22/07/2024,01/08/2024,支付宝,1,武汉,Online,徐丽,2.3,614.38,28.870058,84.395689
CLI00013,吴强,7981,智能手表,穿戴设备,8,24.8,198.4,2.76,Entregado,04/02/2024,13/02/2024,支付宝,1,武汉,Online,徐丽,3.7,201.16,35.522907,115.856513
CLI00014,郑霞,7617,平板电脑,平板,2,71.78,143.56,13.74,Entregado,02/04/2024,12/04/2024,支付宝,1,深圳,Tienda física,徐丽,3.9,157.3,29.585612,86.597391
CLI00015,陈静,4324,平板电脑,平板,2,280.18,560.36,10.01,Entregado,10/03/2025,24/03/2025,支付宝,1,北京,Tienda física,孙明,4.1,570.37,31.422863,97.858402
CLI00016,郑霞,9634,扫地机器人,智能家居,6,260.01,1560.06,10.4,Cancelado,11/03/2024,19/03/2024,微信支付,1,北京,Tienda física,徐丽,1.2,1570.46,28.08239,86.130167
CLI00017,郑霞,6948,平板电脑,平板,9,272.46,2452.14,9.2,Entregado,15/06/2025,20/06/2025,网银转账,1,北京,Tienda física,徐丽,2.3,2461.34,30.839397,98.848812
CLI00018,王伟,1221,电动牙刷,个人护理,6,282.08,1692.48,7.7,Entregado,25/12/2025,03/01/2026,现金,1,深圳,Online,马超,4.1,1700.18,19.633355,112.621063
CLI00019,张敏,6015,移动电源,配件,3,11.04,33.12,5.8,En tránsito,05/07/2025,16/07/2025,支付宝,1,广州,Online,徐丽,1.5,38.92,24.93427,122.336885
CLI00020,刘洋,4816,笔记本电脑,电脑,10,150.24,1502.4,4.6,En tránsito,07/10/2025,11/10/2025,支付宝,1,广州,Tienda física,徐丽,4.1,1507.0,52.127831,130.001942
CLI00021,周婷,4119,智能摄像头,智能家居,3,229.94,689.82,15.6,En tránsito,28/02/2024,05/03/2024,网银转账,1,深圳,Online,马超,4.2,705.42,37.719012,93.917636
CLI00022,吴强,1194,智能摄像头,智能家居,9,277.64,2498.76,3.12,Entregado,08/06/2025,14/06/2025,银联卡,1,广州,Online,孙明,4.3,2501.88,46.362118,115.599241
CLI00023,郑霞,3409,智能摄像头,智能家居,3,182.61,547.83,1.42,Entregado,17/07/2025,21/07/2025,微信支付,1,成都,Tienda física,马超,4.0,549.25,43.264101,77.186842
CLI00024,吴强,3939,扫地机器人,智能家居,8,279.28,2234.24,7.47,Entregado,01/03/2024,09/03/2024,网银转账,1,西安,Tienda física,孙明,2.5,2241.71,22.532238,116.149935
CLI00025,赵磊,3702,电动牙刷,个人护理,2,126.49,252.98,8.42,Entregado,28/03/2025,06/04/2025,银联卡,1,南京,Tienda física,马超,3.1,261.4,26.700458,90.839721
CLI00026,刘洋,8909,蓝牙音箱,音频,10,30.78,307.8,2.04,Entregado,28/04/2024,05/05/2024,现金,1,上海,Tienda física,马超,2.1,309.84,42.20719,109.335334
CLI00027,张敏,2764,扫地机器人,智能家居,1,249.27,249.27,14.18,En tránsito,19/01/2025,30/01/2025,支付宝,1,深圳,Online,马超,4.6,263.45,34.014099,96.851124
CLI00028,李芳,1204,笔记本电脑,电脑,3,140.19,420.57,14.21,Devuelto,30/09/2025,12/10/2025,微信支付,1,西安,Tienda física,徐丽,2.0,434.78,52.790742,125.008805
CLI00029,周婷,5665,智能手表,穿戴设备,3,289.63,868.89,16.83,En tránsito,25/03/2025,06/04/2025,支付宝,1,广州,Online,孙明,4.6,885.72,48.610552,76.928054
CLI00030,陈静,9296,移动电源,配件,5,257.11,1285.55,12.88,Entregado,20/07/2025,03/08/2025,微信支付,1,重庆,Online,孙明,2.7,1298.43,49.901583,99.830448
CLI00031,刘洋,6516,蓝牙音箱,音频,6,90.18,541.08,11.4,Cancelado,02/01/2024,07/01/2024,支付宝,1,杭州,Tienda física,孙明,2.6,552.48,38.632689,133.198396
CLI00032,郑霞,4930,电动牙刷,个人护理,7,235.23,1646.61,16.68,Devuelto,22/07/2024,31/07/2024,银联卡,1,杭州,Online,朱燕,1.1,1663.29,31.395284,118.516937
CLI00033,刘洋,6123,蓝牙音箱,音频,3,21.78,65.34,14.49,En tránsito,16/12/2025,25/12/2025,支付宝,1,上海,Tienda física,马超,3.7,79.83,50.774996,116.834243
CLI00034,郑霞,4986,智能摄像头,智能家居,10,118.32,1183.2,11.22,Cancelado,25/09/2024,04/10/2024,网银转账,1,广州,Tienda física,朱燕,2.3,1194.42,33.297148,85.442302
CLI00035,李芳,6890,蓝牙音箱,音频,3,137.4,412.2,16.73,Entregado,13/03/2025,22/03/2025,支付宝,1,杭州,Online,孙明,2.6,428.93,41.118382,128.59713
CLI00036,刘洋,6511,扫地机器人,智能家居,2,93.53,187.06,13.39,Entregado,28/07/2024,10/08/2024,网银转账,1,上海,Tienda física,孙明,1.2,200.45,52.284195,119.46601
CLI00037,李芳,3194,智能手机,手机,5,289.14,1445.7,10.63,Entregado,04/12/2025,16/12/2025,微信支付,1,武汉,Tienda física,马超,4.1,1456.33,41.345688,76.420444
CLI00038,赵磊,7488,电动牙刷,个人护理,2,152.23,304.46,11.25,Entregado,21/02/2024,06/03/2024,支付宝,1,武汉,Online,马超,2.6,315.71,38.095714,91.88313
CLI00039,刘洋,9952,智能手表,穿戴设备,9,263.42,2370.78,1.41,Entregado,23/09/2025,05/10/2025,支付宝,1,武汉,Online,徐丽,3.4,2372.19,32.057783,111.664668
CLI00040,周婷,8789,平板电脑,平板,6,81.58,489.48,2.22,Entregado,07/03/2025,14/03/2025,支付宝,1,南京,Online,孙明,3.4,491.7,34.959183,134.677051
CLI00041,赵磊,5484,笔记本电脑,电脑,8,294.94,2359.52,15.62,Entregado,19/12/2025,24/12/2025,支付宝,1,广州,Tienda física,马超,2.4,2375.14,28.151368,133.265459
CLI00042,王伟,4569,扫地机器人,智能家居,7,50.31,352.17,8.21,Entregado,29/11/2025,07/12/2025,微信支付,1,西安,Tienda física,孙明,3.2,360.38,24.247926,73.738264
CLI00043,李芳,8316,扫地机器人,智能家居,7,249.88,1749.16,10.08,Entregado,05/06/2025,15/06/2025,支付宝,1,深圳,Online,马超,3.4,1759.24,19.159296,96.617203
CLI00044,张敏,9209,平板电脑,平板,7,71.44,500.08,4.38,Devuelto,19/07/2024,29/07/2024,微信支付,1,广州,Tienda física,徐丽,3.1,504.46,27.72509,73.59951
CLI00045,刘洋,5614,无线耳机,音频,10,227.67,2276.7,12.93,En tránsito,31/08/2025,04/09/2025,网银转账,1,深圳,Online,孙明,2.4,2289.63,24.503065,108.246216
CLI00046,杨军,9746,电动牙刷,个人护理,9,39.13,352.17,6.32,Entregado,01/08/2024,15/08/2024,微信支付,1,上海,Online,马超,3.8,358.49,51.108793,108.769244
CLI00047,杨军,5574,扫地机器人,智能家居,2,211.04,422.08,13.19,Entregado,22/10/2024,29/10/2024,银联卡,1,上海,Tienda física,朱燕,2.7,435.27,21.863404,132.029165
CLI00048,吴强,7320,蓝牙音箱,音频,6,204.55,1227.3,17.27,Entregado,13/09/2025,16/09/2025,网银转账,1,武汉,Tienda física,朱燕,2.2,1244.57,53.260666,106.429722
CLI00049,吴强,4661,智能摄像头,智能家居,9,69.46,625.14,7.33,Entregado,17/06/2024,28/06/2024,网银转账,1,杭州,Online,孙明,1.6,632.47,52.478363,89.564998
CLI00050,王伟,6024,电动牙刷,个人护理,2,275.34,550.68,10.79,Pendiente,25/05/2024,07/06/2024,网银转账,1,深圳,Tienda física,徐丽,5.0,561.47,47.099555,79.543442
CLI00051,赵磊,9346,平板电脑,平板,7,114.05,798.35,5.47,En tránsito,27/02/2024,13/03/2024,支付宝,1,深圳,Online,马超,3.5,803.82,47.755813,90.931016
CLI00052,赵磊,6704,蓝牙音箱,音频,5,52.41,262.05,3.8,Pendiente,24/10/2025,03/11/2025,现金,1,武汉,Tienda física,徐丽,3.7,265.85,49.45859,113.687512
CLI00053,陈静,5821,智能手机,手机,1,238.69,238.69,16.08,Entregado,19/02/2025,24/02/2025,微信支付,1,北京,Online,朱燕,3.7,254.77,28.09233,94.303512
CLI00054,王伟,9944,智能手机,手机,3,266.13,798.39,3.84,Entregado,15/11/2024,30/11/2024,银联卡,1,上海,Tienda física,朱燕,3.6,802.23,35.86603,111.318545
CLI00055,王伟,9076,笔记本电脑,电脑,4,168.16,672.64,10.89,En tránsito,30/09/2024,15/10/2024,现金,1,重庆,Tienda física,孙明,4.1,683.53,18.86377,87.570525
CLI00056,杨军,2154,平板电脑,平板,10,141.42,1414.2,17.72,Entregado,15/01/2025,30/01/2025,银联卡,1,西安,Tienda física,孙明,4.3,1431.92,22.451851,130.331883
CLI00057,陈静,6156,扫地机器人,智能家居,8,127.48,1019.84,14.91,Entregado,28/04/2024,06/05/2024,现金,1,北京,Online,朱燕,2.9,1034.75,31.9911,125.193159
CLI00058,郑霞,1773,智能手机,手机,3,9.11,27.33,17.81,Entregado,17/02/2025,20/02/2025,现金,1,南京,Online,马超,4.0,45.14,32.574716,82.972224
CLI00059,周婷,2337,无线耳机,音频,1,8.06,8.06,4.15,Devuelto,04/07/2025,18/07/2025,银联卡,1,杭州,Online,孙明,1.9,12.21,37.912694,101.106975
CLI00060,赵磊,6865,笔记本电脑,电脑,4,45.76,183.04,9.03,En tránsito,05/04/2025,15/04/2025,微信支付,1,重庆,Tienda física,马超,1.3,192.07,45.797929,134.327695
CLI00061,陈静,9730,蓝牙音箱,音频,6,168.2,1009.2,17.4,En tránsito,23/01/2024,31/01/2024,支付宝,1,成都,Tienda física,马超,2.3,1026.6,47.45696,110.838265
CLI00062,赵磊,4783,扫地机器人,智能家居,4,169.12,676.48,4.26,Entregado,20/11/2025,23/11/2025,微信支付,1,西安,Online,马超,1.5,680.74,43.178173,121.968078
CLI00063,张敏,5952,智能手机,手机,8,260.2,2081.6,3.26,Cancelado,01/11/2024,07/11/2024,支付宝,1,广州,Tienda física,马超,4.5,2084.86,44.456306,81.302904
CLI00064,陈静,8467,蓝牙音箱,音频,4,241.62,966.48,15.1,Entregado,27/09/2024,30/09/2024,银联卡,1,北京,Tienda física,徐丽,2.2,981.58,51.902455,99.605068
CLI00065,王伟,9016,蓝牙音箱,音频,2,293.25,586.5,1.59,Entregado,03/08/2024,09/08/2024,网银转账,1,广州,Tienda física,徐丽,2.8,588.09,35.307041,83.328214
CLI00066,陈静,3397,平板电脑,平板,6,170.72,1024.32,7.67,Entregado,03/01/2025,15/01/2025,网银转账,1,杭州,Online,朱燕,3.1,1031.99,44.034828,88.765268
CLI00067,刘洋,5561,智能摄像头,智能家居,6,242.04,1452.24,6.77,Entregado,10/12/2025,17/12/2025,网银转账,1,成都,Online,孙明,2.6,1459.01,27.438465,130.189524
CLI00068,刘洋,7027,电动牙刷,个人护理,7,85.1,595.7,17.04,Pendiente,14/05/2024,19/05/2024,支付宝,1,上海,Online,徐丽,3.2,612.74,35.695658,116.198756
CLI00069,李芳,4022,笔记本电脑,电脑,8,159.31,1274.48,6.44,Devuelto,02/01/2024,09/01/2024,银联卡,1,重庆,Tienda física,孙明,3.0,1280.92,33.494385,79.705033
CLI00070,赵磊,4817,无线耳机,音频,5,110.96,554.8,11.4,Entregado,19/01/2024,22/01/2024,银联卡,1,西安,Tienda física,马超,4.3,566.2,34.410265,88.463423
